"","nwsID","wrccID","nessID","siteName","longitude","latitude","timezone","elevation","countryCode","stateCode","agency"
"1","021503",NA,NA,"AHAKAHV PRESERVE",-114.3275,34.13083333,"America/Phoenix",360,"US","AZ",NA
"2","500726",NA,NA,"ALCAN HWY MI 1244",-141.47,62.83,"America/Anchorage",1800,"US","AK",NA
"3","020401",NA,NA,"ALPINE",-109.1116667,33.84277778,"America/Phoenix",8188,"US","AZ",NA
"4","500742",NA,NA,"ANGEL CREEK LODGE",-146.22,65.02,"America/Anchorage",1100,"US","AK",NA
"5","032101",NA,NA,"ARMSTEAD MT.",-92.81916667,35.57277778,"America/Chicago",1600,"US","AR",NA
"6","010702",NA,NA,"BANKHD",-87.33722222,34.34388889,"America/Chicago",989,"US","AL",NA
"7","011202",NA,NA,"BANKHEAD NF",-87.36222,34.14,"America/Chicago",804,"US","AL",NA
"8","500423",NA,NA,"BIRCH CREEK",-144.36,65.59,"America/Anchorage",850,"US","AK",NA
"9","021504",NA,NA,"BELMONT",-112.9227778,33.67416667,"America/Phoenix",1855,"US","AZ",NA
"10","500414",NA,NA,"BEN CREEK",-143.0638889,65.29027778,"America/Anchorage",1850,"US","AK",NA
"11","500418",NA,NA,"BEAVER",-146.53,66.27,"America/Anchorage",483,"US","AK",NA
"12","500939",NA,NA,"BIG LAKE",-149.9052778,61.5175,"America/Anchorage",150,"US","AK",NA
"13","021008",NA,NA,"BLACK HILLS",-109.9511111,33.08194444,"America/Phoenix",3300,"US","AZ",NA
"14","500758",NA,NA,"BLAIR LAKES",-147.6952778,64.38583333,"America/Anchorage",790,"US","AK",NA
"15","031404",NA,NA,"BLANCHARD SPRINGS",-92.19416667,35.97444444,"America/Chicago",1100,"US","AR",NA
"16","036502",NA,NA,"BLUFF CITY",-93.1625,33.69222222,"America/Chicago",360,"US","AR",NA
"17","016703",NA,NA,"BON SECOUR",-87.8125,30.25277778,"America/Chicago",15,"US","AL",NA
